Action_ID,Merchant_Category_Code,Action_Type,Payment_Method_Name,Card_Holder_Name,CC_Number,CC_Year_expiry,Captured_Status,Amount,Currency_Symbol,Response_Code,Response_Description,Customer_Email,Is_3DS,Attempt_3DS
act_qg6easo5ajzungmpppp2z5l4ey,5815,Refund,VISA,Bruce Wayne,453243******0131,2021,Expired,7.91,GBP,0,Declined,brucewayne@arkham.com,FALSE,FALSE
act_zmqw7nrmlb4ujexugx3jh5jstm,5815,Capture,VISA,Bruce Wayne,453243******0131,2026,Authorized,1.97,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_u26uxut5pc4ednw3kiwjivkqfm,5815,Capture,VISA,Bruce Wayne,453243******0131,2026,Authorized,2.55,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_4jqnybof2vcuric6ofs6oaww7u,5815,Refund,VISA,Bruce Wayne,453243******0131,2026,Insufficient_funds,6.76,GBP,0,Declined,brucewayne@arkham.com,FALSE,FALSE
act_t4izgn3jgrsedhuymhcgtec3lq,5815,Refund,VISA,Bruce Wayne,453243******0131,2019,Expired,3.36,GBP,0,Declined,brucewayne@arkham.com,FALSE,FALSE
act_peipqwhz53pehh6by3weecxhga,5815,Refund,VISA,Bruce Wayne,453243******0131,2027,blocked_card,1.74,GBP,0,Declined,brucewayne@arkham.com,FALSE,FALSE
act_ftfhfs46nrdexi5izlhfcbdp5i,5815,Refund,MASTERCARD,Bruce Wayne,518368******4411,2025,Insufficient_funds,9.16,GBP,0,Declined,brucewayne@arkham.com,FALSE,FALSE
act_f2jgssjxu5lutnoyjlpcezysqe,5815,Refund,VISA,Bruce Wayne,453243******0131,2023,Insufficient_funds,1.34,GBP,0,Declined,brucewayne@arkham.com,FALSE,FALSE
act_fswi5x4tqmueba2wrf7wzcviye,5815,Capture,VISA,Bruce Wayne,453243******0131,2028,Authorized,4.18,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_oe4ss7b7mriulbafm2tlnpjyle,5815,Capture,VISA,Bruce Wayne,453243******0131,2030,Authorized,13.18,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_ndhybeavdqee3ifsmzibcq3iie,5815,Capture,VISA,Bruce Wayne,453243******0131,2029,Authorized,10.44,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_uvytrjqsbhqevo3nc3zetmybl4,5815,Capture,VISA,Bruce Wayne,453243******0131,2026,Authorized,7.91,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_uvw23rkc3kvehgmgqo2z7y4d4i,5815,Capture,VISA,Bruce Wayne,453243******0131,2025,Authorized,10.4,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_jvtpjkmkqg2u7bqeacxempuatu,5815,Capture,VISA,Bruce Wayne,453243******0131,2029,Authorized,1.12,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_3xfdrjfitnju7fuqqhw77t6fwm,5815,Capture,VISA,Bruce Wayne,453243******0131,2026,Authorized,10.4,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_4p4xcbwgds2ebdxtkcyhelec3u,5815,Refund,VISA,Bruce Wayne,453243******0131,2027,Insufficient_funds,6.76,GBP,0,Declined,brucewayne@arkham.com,FALSE,FALSE
act_rmzswnxtrkee5o6zn2dcjpdluq,5815,Capture,MASTERCARD,Bruce Wayne,518368******4411,2030,Authorized,48.5,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_ccstdoqn4nlupkxylrwbp6sgaq,5815,Capture,MASTERCARD,Bruce Wayne,518368******4411,2030,Authorized,4.27,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_tuevv6vafdteffxfrj5ojzngea,5815,Capture,MASTERCARD,Bruce Wayne,518368******4411,2029,Authorized,10,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_7vjjywx7i6relkajfbi2odxwqm,5815,Capture,VISA,Bruce Wayne,453243******0131,2026,Authorized,1.97,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_t4e3rc4d3p6enlkbn5u2saz25y,5815,Capture,VISA,Bruce Wayne,453243******0131,2029,Authorized,9.36,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_mlapciza6tke5lr3sj4pnf55zi,5815,Capture,MASTERCARD,Bruce Wayne,518368******4411,2018,Authorized,3.42,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_5jprcflwjs5ufoawhrlv6ookie,5815,Capture,MASTERCARD,Bruce Wayne,518368******4411,2026,Authorized,0.15,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_chrvu33po7fuzigeheu35qz2se,5815,Refund,VISA,Bruce Wayne,453243******0131,2029,Insufficient_funds,10.4,GBP,0,Declined,brucewayne@arkham.com,FALSE,FALSE
act_ecdykdr2rt6eziyz5okcicl6qm,5815,Capture,MASTERCARD,Bruce Wayne,518368******4411,2026,Authorized,48.5,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_4alv7enprivehinifyp7hk74qu,5815,Capture,MASTERCARD,Bruce Wayne,518368******4411,2023,Authorized,48.5,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_g2vlrkew2ezezn6bic6mezoq7a,5815,Refund,MASTERCARD,Bruce Wayne,518368******4411,2030,blocked_card,48.5,GBP,0,Declined,brucewayne@arkham.com,FALSE,FALSE
act_c3runhwawnie3m5fhr2ii5in7a,5815,Capture,MASTERCARD,Bruce Wayne,518368******4411,2028,Authorized,48.55,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_mgxpcyn6kw6epgxhpgd5mijjve,5815,Refund,VISA,Bruce Wayne,453243******0131,2015,Expired,2.55,GBP,0,Declined,brucewayne@arkham.com,FALSE,FALSE
act_goksgs76c7lu3nmuz7nmi4ro6m,5815,Capture,VISA,Bruce Wayne,453243******0131,2028,Authorized,3.36,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_5hqbjxf43pvulctqbqa2mz5h54,5815,Refund,VISA,Bruce Wayne,453243******0131,2027,blocked_card,7.91,GBP,0,Declined,brucewayne@arkham.com,FALSE,FALSE
act_3wainn6jx4dejpfr5xiocpjbya,5815,Refund,MASTERCARD,Bruce Wayne,518368******4411,2028,Expired,48.5,GBP,0,Declined,brucewayne@arkham.com,FALSE,FALSE
act_v45pzlye2vguvc7xefwrzumujq,5815,Refund,VISA,Bruce Wayne,453243******0131,2029,blocked_card,13.18,GBP,0,Declined,brucewayne@arkham.com,FALSE,FALSE
act_tv4pnolqulcelo4t5yqfdv3jbe,5815,Refund,VISA,Bruce Wayne,453243******0131,2016,Expired,4.18,GBP,0,Declined,brucewayne@arkham.com,FALSE,FALSE
act_dydkkdavw5fe5hg2c7x3zjqlme,5815,Refund,MASTERCARD,Bruce Wayne,518368******4411,2023,Insufficient_funds,0.15,GBP,0,Declined,brucewayne@arkham.com,FALSE,FALSE
act_vwt7rp2rbpiefcolnqpibq4a7y,5815,Refund,VISA,Bruce Wayne,453243******0131,2014,Expired,1.12,GBP,0,Declined,brucewayne@arkham.com,FALSE,FALSE
act_cvxgbt2c635evf42g6ou7c37wi,5815,Authorisation,MASTERCARD,Bruce Wayne,518368******4411,2030,Authorized,9.16,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_sdxglvcxpvleli43qw5fdegaqu,5815,Authorisation,VISA,Bruce Wayne,453243******0131,2025,Authorized,10.44,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_ml4w2xxtiovujkeub7jfsvpywy,5815,Authorisation,VISA,Bruce Wayne,453243******0131,2027,Authorized,10.4,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_w27fpamzv6tutkmhkul2dfngye,5815,Authorisation,VISA,Bruce Wayne,453243******0131,2026,Authorized,10.4,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_pduv5x5ku37ezb77g3wggsm6zi,5815,Authorisation,MASTERCARD,Bruce Wayne,518368******4411,2030,Authorized,4.27,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_bncmxgivb2wuhiso34m7oaut5y,5815,Authorisation,VISA,Bruce Wayne,453243******0131,2029,Authorized,10.4,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_ccyv5eduxa4ubhptdcrmmmbnza,5815,Authorisation,MASTERCARD,Bruce Wayne,518368******4411,2024,Authorized,3.42,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_zrymaqvlwreebknkre3yyz776u,5815,Authorisation,VISA,Bruce Wayne,453243******0131,2028,Authorized,1.74,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_kkuuv5oubxfufou6l3ixtxkbry,5815,Authorisation,MASTERCARD,Bruce Wayne,518368******4411,2028,Authorized,10,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
act_cy4sdrxgrayujmgap6papgt7ky,5815,Authorisation,VISA,Bruce Wayne,453243******0131,2027,Authorized,1.97,GBP,10000,Approved,brucewayne@arkham.com,FALSE,FALSE
